song,artist,date,rank
That's What I Like,Bruno Mars,2017-12-16,37
The Weekend,SZA,2017-12-16,38
The Way Life Goes,Lil Uzi Vert Featuring Nicki Minaj,2017-12-16,39
Meant To Be,Bebe Rexha &amp; Florida Georgia Line,2017-12-16,40
Strip That Down,Liam Payne Featuring Quavo,2017-12-16,41
There's Nothing Holdin' Me Back,Shawn Mendes,2017-12-16,42
Plain Jane,A$AP Ferg Featuring Nicki Minaj,2017-12-16,43
Do Re Mi,blackbear,2017-12-16,44
Congratulations,Post Malone Featuring Quavo,2017-12-16,45
Rubbin Off The Paint,YBN Nahmir,2017-12-16,46
Humble.,Kendrick Lamar,2017-12-16,47
Greatest Love Story,LANCO,2017-12-16,48
Ric Flair Drip,Offset &amp; Metro Boomin,2017-12-16,49
Slow Hands,Niall Horan,2017-12-16,50
Pills And Automobiles,"Chris Brown Featuring Yo Gotti, A Boogie Wit da Hoodie &amp; Kodak Black",2017-12-16,51
Codeine Dreaming,Kodak Black Featuring Lil Wayne,2017-12-16,52
Let Me Go,Hailee Steinfeld &amp; Alesso Featuring Florida Georgia Line &amp; Watt,2017-12-16,53
Gummo,6ix9ine,2017-12-16,54
Sky Walker,Miguel Featuring Travis Scott,2017-12-16,55
When It Rains It Pours,Luke Combs,2017-12-16,56
Roll In Peace,Kodak Black Featuring XXXTENTACION,2017-12-16,57
Light It Up,Luke Bryan,2017-12-16,58
Unforgettable,Thomas Rhett,2017-12-16,59
Look What You Made Me Do,Taylor Swift,2017-12-16,60
I'll Name The Dogs,Blake Shelton,2017-12-16,61
Like I Loved You,Brett Young,2017-12-16,62
Lemon,N*E*R*D &amp; Rihanna,2017-12-16,63
Candy Paint,Post Malone,2017-12-16,64
Good Old Days,Macklemore Featuring Kesha,2017-12-16,65
Lights Down Low,MAX Featuring gnash,2017-12-16,66
Betrayed,Lil Xan,2017-12-16,67
Round Here Buzz,Eric Church,2017-12-16,68
Yours,Russell Dickerson,2017-12-16,69
Love So Soft,Kelly Clarkson,2017-12-16,70
Ask Me How I Know,Garth Brooks,2017-12-16,71
Wanted You,NAV Featuring Lil Uzi Vert,2017-12-16,72
Losing Sleep,Chris Young,2017-12-16,73
Dusk Till Dawn,Zayn Featuring Sia,2017-12-16,74
Ghostface Killers,"21 Savage, Offset &amp; Metro Boomin Featuring Travis Scott",2017-12-16,75
Echame La Culpa,Luis Fonsi &amp; Demi Lovato,2017-12-16,76
The Race,Tay-K,2017-12-16,77
I Could Use A Love Song,Maren Morris,2017-12-16,78
Walk On Water,Eminem Featuring Beyonce,2017-12-16,79
Mayores,Becky G Featuring Bad Bunny,2017-12-16,80
F**k Love,XXXTENTACION Featuring Trippie Redd,2017-12-16,81
Pick It Up,Famous Dex Featuring A$AP Rocky,2017-12-16,82
End Game,Taylor Swift Featuring Ed Sheeran &amp; Future,2017-12-16,83
You Broke Up With Me,Walker Hayes,2017-12-16,84
Jocelyn Flores,XXXTENTACION,2017-12-16,85
Krippy Kush,"Farruko, Nicki Minaj, Bad Bunny, 21 Savage &amp; Rvssian",2017-12-16,86
Transportin',Kodak Black,2017-12-16,87
When We,Tank,2017-12-16,88
Too Much To Ask,Niall Horan,2017-12-16,89
Fix A Drink,Chris Janson,2017-12-16,90
It's Everyday Bro,Jake Paul Featuring Team 10,2017-12-16,91
Written In The Sand,Old Dominion,2017-12-16,92
All On Me,Devin Dawson,2017-12-16,93
Faking It,Calvin Harris Featuring Kehlani &amp; Lil Yachty,2017-12-16,94
Go Flex,Post Malone,2017-12-16,95
Sauce It Up,Lil Uzi Vert,2017-12-16,96
Beautiful Trauma,P!nk,2017-12-16,97
Legends,Kelsea Ballerini,2017-12-16,98
Total Eclipse Of The Heart,Chloe Kohanski,2017-12-16,99
Perro Fiel,Shakira Featuring Nicky Jam,2017-12-16,100
Rockstar,Post Malone Featuring 21 Savage,2017-12-09,1
Havana,Camila Cabello Featuring Young Thug,2017-12-09,2
Gucci Gang,Lil Pump,2017-12-09,3
Thunder,Imagine Dragons,2017-12-09,4
Perfect,Ed Sheeran,2017-12-09,5
Bodak Yellow (Money Moves),Cardi B,2017-12-09,6
Too Good At Goodbyes,Sam Smith,2017-12-09,7
Feel It Still,Portugal. The Man,2017-12-09,8
Sorry Not Sorry,Demi Lovato,2017-12-09,9
What Lovers Do,Maroon 5 Featuring SZA,2017-12-09,10
No Limit,G-Eazy Featuring A$AP Rocky &amp; Cardi B,2017-12-09,11
Mi Gente,J Balvin &amp; Willy William Featuring Beyonce,2017-12-09,12
1-800-273-8255,Logic Featuring Alessia Cara &amp; Khalid,2017-12-09,13
Bad At Love,Halsey,2017-12-09,14
Bank Account,21 Savage,2017-12-09,15
I Get The Bag,Gucci Mane Featuring Migos,2017-12-09,16
MotorSport,"Migos, Nicki Minaj &amp; Cardi B",2017-12-09,17
New Rules,Dua Lipa,2017-12-09,18
Despacito,Luis Fonsi &amp; Daddy Yankee Featuring Justin Bieber,2017-12-09,19
Wolves,Selena Gomez X Marshmello,2017-12-09,20
I Fall Apart,Post Malone,2017-12-09,21
Young Dumb & Broke,Khalid,2017-12-09,22
Believer,Imagine Dragons,2017-12-09,23
...Ready For It?,Taylor Swift,2017-12-09,24
What About Us,P!nk,2017-12-09,25
Praying,Kesha,2017-12-09,26
Rake It Up,Yo Gotti Featuring Nicki Minaj,2017-12-09,27
Unforgettable,French Montana Featuring Swae Lee,2017-12-09,28
Gummo,6ix9ine,2017-12-09,29
Attention,Charlie Puth,2017-12-09,30
Shape Of You,Ed Sheeran,2017-12-09,31
That's What I Like,Bruno Mars,2017-12-09,32
There's Nothing Holdin' Me Back,Shawn Mendes,2017-12-09,33
How Long,Charlie Puth,2017-12-09,34
Congratulations,Post Malone Featuring Quavo,2017-12-09,35
Strip That Down,Liam Payne Featuring Quavo,2017-12-09,36
The Weekend,SZA,2017-12-09,37
The Way Life Goes,Lil Uzi Vert Featuring Nicki Minaj,2017-12-09,38
Love.,Kendrick Lamar Featuring Zacari,2017-12-09,39
Slow Hands,Niall Horan,2017-12-09,40
Do Re Mi,blackbear,2017-12-09,41
Meant To Be,Bebe Rexha &amp; Florida Georgia Line,2017-12-09,42
Silence,Marshmello Featuring Khalid,2017-12-09,43
Look What You Made Me Do,Taylor Swift,2017-12-09,44
Greatest Love Story,LANCO,2017-12-09,45
Pills And Automobiles,"Chris Brown Featuring Yo Gotti, A Boogie Wit da Hoodie &amp; Kodak Black",2017-12-09,46
Echame La Culpa,Luis Fonsi &amp; Demi Lovato,2017-12-09,47
Let You Down,NF,2017-12-09,48
Humble.,Kendrick Lamar,2017-12-09,49
Plain Jane,A$AP Ferg Featuring Nicki Minaj,2017-12-09,50
When It Rains It Pours,Luke Combs,2017-12-09,51
Rubbin Off The Paint,YBN Nahmir,2017-12-09,52
Let Me Go,Hailee Steinfeld &amp; Alesso Featuring Florida Georgia Line &amp; Watt,2017-12-09,53
Ric Flair Drip,Offset &amp; Metro Boomin,2017-12-09,54
Walk On Water,Eminem Featuring Beyonce,2017-12-09,55
Roll In Peace,Kodak Black Featuring XXXTENTACION,2017-12-09,56
Unforgettable,Thomas Rhett,2017-12-09,57
Sky Walker,Miguel Featuring Travis Scott,2017-12-09,58
Light It Up,Luke Bryan,2017-12-09,59
Love So Soft,Kelly Clarkson,2017-12-09,60
Like I Loved You,Brett Young,2017-12-09,61
I'll Name The Dogs,Blake Shelton,2017-12-09,62
Lemon,N*E*R*D &amp; Rihanna,2017-12-09,63
Wanted You,NAV Featuring Lil Uzi Vert,2017-12-09,64
Ghostface Killers,"21 Savage, Offset &amp; Metro Boomin Featuring Travis Scott",2017-12-09,65
Candy Paint,Post Malone,2017-12-09,66
Good Old Days,Macklemore Featuring Kesha,2017-12-09,67
Dusk Till Dawn,Zayn Featuring Sia,2017-12-09,68
Betrayed,Lil Xan,2017-12-09,69
Lights Down Low,MAX Featuring gnash,2017-12-09,70
The Race,Tay-K,2017-12-09,71
Round Here Buzz,Eric Church,2017-12-09,72
Yours,Russell Dickerson,2017-12-09,73
Mayores,Becky G Featuring Bad Bunny,2017-12-09,74
Losing Sleep,Chris Young,2017-12-09,75
Ask Me How I Know,Garth Brooks,2017-12-09,76
I Could Use A Love Song,Maren Morris,2017-12-09,77
Fix A Drink,Chris Janson,2017-12-09,78
Awful Things,Lil Peep,2017-12-09,79
F**k Love,XXXTENTACION Featuring Trippie Redd,2017-12-09,80
Relationship,Young Thug Featuring Future,2017-12-09,81
Transportin',Kodak Black,2017-12-09,82
Jocelyn Flores,XXXTENTACION,2017-12-09,83
Every Little Thing,Carly Pearce,2017-12-09,84
You Broke Up With Me,Walker Hayes,2017-12-09,85
End Game,Taylor Swift Featuring Ed Sheeran &amp; Future,2017-12-09,86
Too Much To Ask,Niall Horan,2017-12-09,87
Sauce It Up,Lil Uzi Vert,2017-12-09,88
Pick It Up,Famous Dex Featuring A$AP Rocky,2017-12-09,89
Home,"Machine Gun Kelly, X Ambassadors &amp; Bebe Rexha",2017-12-09,90
Go Flex,Post Malone,2017-12-09,91
When We,Tank,2017-12-09,92
Glorious,Macklemore Featuring Skylar Grey,2017-12-09,93
Questions,Chris Brown,2017-12-09,94
Beautiful Trauma,P!nk,2017-12-09,95
No Smoke,YoungBoy Never Broke Again,2017-12-09,96
Broken Halos,Chris Stapleton,2017-12-09,97
The Rest Of Our Life,Tim McGraw &amp; Faith Hill,2017-12-09,98
Written In The Sand,Old Dominion,2017-12-09,99
Faking It,Calvin Harris Featuring Kehlani &amp; Lil Yachty,2017-12-09,100
Rockstar,Post Malone Featuring 21 Savage,2017-12-02,1
Havana,Camila Cabello Featuring Young Thug,2017-12-02,2
Gucci Gang,Lil Pump,2017-12-02,3
Thunder,Imagine Dragons,2017-12-02,4
Bodak Yellow (Money Moves),Cardi B,2017-12-02,5
Too Good At Goodbyes,Sam Smith,2017-12-02,6
Perfect,Ed Sheeran,2017-12-02,7
1-800-273-8255,Logic Featuring Alessia Cara &amp; Khalid,2017-12-02,8
Feel It Still,Portugal. The Man,2017-12-02,9
Mi Gente,J Balvin &amp; Willy William Featuring Beyonce,2017-12-02,10
What Lovers Do,Maroon 5 Featuring SZA,2017-12-02,11
Sorry Not Sorry,Demi Lovato,2017-12-02,12
No Limit,G-Eazy Featuring A$AP Rocky &amp; Cardi B,2017-12-02,13
Walk On Water,Eminem Featuring Beyonce,2017-12-02,14
MotorSport,"Migos, Nicki Minaj &amp; Cardi B",2017-12-02,15
I Get The Bag,Gucci Mane Featuring Migos,2017-12-02,16
Bad At Love,Halsey,2017-12-02,17
...Ready For It?,Taylor Swift,2017-12-02,18
New Rules,Dua Lipa,2017-12-02,19
What About Us,P!nk,2017-12-02,20
Unforgettable,French Montana Featuring Swae Lee,2017-12-02,21
Despacito,Luis Fonsi &amp; Daddy Yankee Featuring Justin Bieber,2017-12-02,22
Rake It Up,Yo Gotti Featuring Nicki Minaj,2017-12-02,23
Attention,Charlie Puth,2017-12-02,24
I Fall Apart,Post Malone,2017-12-02,25
Believer,Imagine Dragons,2017-12-02,26
Bank Account,21 Savage,2017-12-02,27
Praying,Kesha,2017-12-02,28
Young Dumb & Broke,Khalid,2017-12-02,29
Shape Of You,Ed Sheeran,2017-12-02,30
Look What You Made Me Do,Taylor Swift,2017-12-02,31
Strip That Down,Liam Payne Featuring Quavo,2017-12-02,32
There's Nothing Holdin' Me Back,Shawn Mendes,2017-12-02,33
That's What I Like,Bruno Mars,2017-12-02,34
Slow Hands,Niall Horan,2017-12-02,35
Congratulations,Post Malone Featuring Quavo,2017-12-02,36
The Way Life Goes,Lil Uzi Vert Featuring Nicki Minaj,2017-12-02,37
The Weekend,SZA,2017-12-02,38
When It Rains It Pours,Luke Combs,2017-12-02,39
How Long,Charlie Puth,2017-12-02,40
Love.,Kendrick Lamar Featuring Zacari,2017-12-02,41
Do Re Mi,blackbear,2017-12-02,42
What Ifs,Kane Brown Featuring Lauren Alaina,2017-12-02,43
Silence,Marshmello Featuring Khalid,2017-12-02,44
Greatest Love Story,LANCO,2017-12-02,45
Pills And Automobiles,"Chris Brown Featuring Yo Gotti, A Boogie Wit da Hoodie &amp; Kodak Black",2017-12-02,46
Humble.,Kendrick Lamar,2017-12-02,47
XO TOUR Llif3,Lil Uzi Vert,2017-12-02,48
Something Just Like This,The Chainsmokers &amp; Coldplay,2017-12-02,49
Crew,GoldLink Featuring Brent Faiyaz &amp; Shy Glizzy,2017-12-02,50
Wolves,Selena Gomez X Marshmello,2017-12-02,51
Let You Down,NF,2017-12-02,52
Meant To Be,Bebe Rexha &amp; Florida Georgia Line,2017-12-02,53
Plain Jane,A$AP Ferg Featuring Nicki Minaj,2017-12-02,54
Unforgettable,Thomas Rhett,2017-12-02,55
Ric Flair Drip,Offset &amp; Metro Boomin,2017-12-02,56
Ghostface Killers,"21 Savage, Offset &amp; Metro Boomin Featuring Travis Scott",2017-12-02,57
Gummo,6ix9ine,2017-12-02,58
Roll In Peace,Kodak Black Featuring XXXTENTACION,2017-12-02,59
Light It Up,Luke Bryan,2017-12-02,60
Love So Soft,Kelly Clarkson,2017-12-02,61
Like I Loved You,Brett Young,2017-12-02,62
I'll Name The Dogs,Blake Shelton,2017-12-02,63
Sky Walker,Miguel Featuring Travis Scott,2017-12-02,64
Wanted You,NAV Featuring Lil Uzi Vert,2017-12-02,65
Let Me Go,Hailee Steinfeld &amp; Alesso Featuring Florida Georgia Line &amp; Watt,2017-12-02,66
Fix A Drink,Chris Janson,2017-12-02,67
Good Old Days,Macklemore Featuring Kesha,2017-12-02,68
Female,Keith Urban,2017-12-02,69
Dusk Till Dawn,Zayn Featuring Sia,2017-12-02,70
The Race,Tay-K,2017-12-02,71
Every Little Thing,Carly Pearce,2017-12-02,72
Call It What You Want,Taylor Swift,2017-12-02,73
Losing Sleep,Chris Young,2017-12-02,74
Yours,Russell Dickerson,2017-12-02,75
Lights Down Low,MAX Featuring gnash,2017-12-02,76
Round Here Buzz,Eric Church,2017-12-02,77
Candy Paint,Post Malone,2017-12-02,78
Lemon,N*E*R*D &amp; Rihanna,2017-12-02,79
Rubbin Off The Paint,YBN Nahmir,2017-12-02,80
I Could Use A Love Song,Maren Morris,2017-12-02,81
F**k Love,XXXTENTACION Featuring Trippie Redd,2017-12-02,82
Jocelyn Flores,XXXTENTACION,2017-12-02,83
Mayores,Becky G Featuring Bad Bunny,2017-12-02,84
Ask Me How I Know,Garth Brooks,2017-12-02,85
Relationship,Young Thug Featuring Future,2017-12-02,86
Transportin',Kodak Black,2017-12-02,87
Rap Saved Me,"21 Savage, Offset &amp; Metro Boomin Featuring Quavo",2017-12-02,88
Gorgeous,Taylor Swift,2017-12-02,89
Sauce It Up,Lil Uzi Vert,2017-12-02,90
Questions,Chris Brown,2017-12-02,91
Smooth,Florida Georgia Line,2017-12-02,92
Betrayed,Lil Xan,2017-12-02,93
You Broke Up With Me,Walker Hayes,2017-12-02,94
Broken Halos,Chris Stapleton,2017-12-02,95
The Plan,G-Eazy,2017-12-02,96
Pick It Up,Famous Dex Featuring A$AP Rocky,2017-12-02,97
Go Flex,Post Malone,2017-12-02,98
Too Much To Ask,Niall Horan,2017-12-02,99
Patek Water,Future &amp; Young Thug Featuring Offset,2017-12-02,100
Rockstar,Post Malone Featuring 21 Savage,2017-11-25,1
Havana,Camila Cabello Featuring Young Thug,2017-11-25,2
Bodak Yellow (Money Moves),Cardi B,2017-11-25,3
Too Good At Goodbyes,Sam Smith,2017-11-25,4
Thunder,Imagine Dragons,2017-11-25,5
1-800-273-8255,Logic Featuring Alessia Cara &amp; Khalid,2017-11-25,6
Feel It Still,Portugal. The Man,2017-11-25,7
Perfect,Ed Sheeran,2017-11-25,8
What Lovers Do,Maroon 5 Featuring SZA,2017-11-25,9
Mi Gente,J Balvin &amp; Willy William Featuring Beyonce,2017-11-25,10
Sorry Not Sorry,Demi Lovato,2017-11-25,11
Gucci Gang,Lil Pump,2017-11-25,12
No Limit,G-Eazy Featuring A$AP Rocky &amp; Cardi B,2017-11-25,13
I Get The Bag,Gucci Mane Featuring Migos,2017-11-25,14
Bank Account,21 Savage,2017-11-25,15
Unforgettable,French Montana Featuring Swae Lee,2017-11-25,16
What About Us,P!nk,2017-11-25,17
Despacito,Luis Fonsi &amp; Daddy Yankee Featuring Justin Bieber,2017-11-25,18
Attention,Charlie Puth,2017-11-25,19
Bad At Love,Halsey,2017-11-25,20
New Rules,Dua Lipa,2017-11-25,21
Rake It Up,Yo Gotti Featuring Nicki Minaj,2017-11-25,22
MotorSport,"Migos, Nicki Minaj &amp; Cardi B",2017-11-25,23
Believer,Imagine Dragons,2017-11-25,24
Young Dumb & Broke,Khalid,2017-11-25,25
Shape Of You,Ed Sheeran,2017-11-25,26
Call It What You Want,Taylor Swift,2017-11-25,27
Praying,Kesha,2017-11-25,28
I Fall Apart,Post Malone,2017-11-25,29
...Ready For It?,Taylor Swift,2017-11-25,30
The Way Life Goes,Lil Uzi Vert Featuring Nicki Minaj,2017-11-25,31
Strip That Down,Liam Payne Featuring Quavo,2017-11-25,32
There's Nothing Holdin' Me Back,Shawn Mendes,2017-11-25,33
Slow Hands,Niall Horan,2017-11-25,34
Ghostface Killers,"21 Savage, Offset &amp; Metro Boomin Featuring Travis Scott",2017-11-25,35
That's What I Like,Bruno Mars,2017-11-25,36
Look What You Made Me Do,Taylor Swift,2017-11-25,37
When It Rains It Pours,Luke Combs,2017-11-25,38
What Ifs,Kane Brown Featuring Lauren Alaina,2017-11-25,39
Congratulations,Post Malone Featuring Quavo,2017-11-25,40
Do Re Mi,blackbear,2017-11-25,41
Something Just Like This,The Chainsmokers &amp; Coldplay,2017-11-25,42
The Weekend,SZA,2017-11-25,43
How Long,Charlie Puth,2017-11-25,44
XO TOUR Llif3,Lil Uzi Vert,2017-11-25,45
Humble.,Kendrick Lamar,2017-11-25,46
Pills And Automobiles,"Chris Brown Featuring Yo Gotti, A Boogie Wit da Hoodie &amp; Kodak Black",2017-11-25,47
Wild Thoughts,DJ Khaled Featuring Rihanna &amp; Bryson Tiller,2017-11-25,48
Body Like A Back Road,Sam Hunt,2017-11-25,49
Ric Flair Drip,Offset &amp; Metro Boomin,2017-11-25,50
Crew,GoldLink Featuring Brent Faiyaz &amp; Shy Glizzy,2017-11-25,51
Greatest Love Story,LANCO,2017-11-25,52
Unforgettable,Thomas Rhett,2017-11-25,53
Silence,Marshmello Featuring Khalid,2017-11-25,54
Wolves,Selena Gomez X Marshmello,2017-11-25,55
Roll In Peace,Kodak Black Featuring XXXTENTACION,2017-11-25,56
Love So Soft,Kelly Clarkson,2017-11-25,57
I'll Name The Dogs,Blake Shelton,2017-11-25,58
Plain Jane,A$AP Ferg Featuring Nicki Minaj,2017-11-25,59
Every Little Thing,Carly Pearce,2017-11-25,60
Let You Down,NF,2017-11-25,61
Meant To Be,Bebe Rexha &amp; Florida Georgia Line,2017-11-25,62
Light It Up,Luke Bryan,2017-11-25,63
Rap Saved Me,"21 Savage, Offset &amp; Metro Boomin Featuring Quavo",2017-11-25,64
Lemon,N*E*R*D &amp; Rihanna,2017-11-25,65
The Race,Tay-K,2017-11-25,66
Like I Loved You,Brett Young,2017-11-25,67
Let Me Go,Hailee Steinfeld &amp; Alesso Featuring Florida Georgia Line &amp; Watt,2017-11-25,68
Sky Walker,Miguel Featuring Travis Scott,2017-11-25,69
Losing Sleep,Chris Young,2017-11-25,70
Fix A Drink,Chris Janson,2017-11-25,71
Good Old Days,Macklemore Featuring Kesha,2017-11-25,72
My Choppa Hate N****s,21 Savage &amp; Metro Boomin,2017-11-25,73
Yours,Russell Dickerson,2017-11-25,74
I Could Use A Love Song,Maren Morris,2017-11-25,75
Round Here Buzz,Eric Church,2017-11-25,76
Jocelyn Flores,XXXTENTACION,2017-11-25,77
Questions,Chris Brown,2017-11-25,78
Rubbin Off The Paint,YBN Nahmir,2017-11-25,79
Dusk Till Dawn,Zayn Featuring Sia,2017-11-25,80
Candy Paint,Post Malone,2017-11-25,81
Pray,Sam Smith Featuring Logic,2017-11-25,82
F**k Love,XXXTENTACION Featuring Trippie Redd,2017-11-25,83
Lights Down Low,MAX Featuring gnash,2017-11-25,84
Gorgeous,Taylor Swift,2017-11-25,85
Transportin',Kodak Black,2017-11-25,86
Relationship,Young Thug Featuring Future,2017-11-25,87
Mayores,Becky G Featuring Bad Bunny,2017-11-25,88
Sauce It Up,Lil Uzi Vert,2017-11-25,89
Ask Me How I Know,Garth Brooks,2017-11-25,90
Smooth,Florida Georgia Line,2017-11-25,91
Broken Halos,Chris Stapleton,2017-11-25,92
Wait,Maroon 5,2017-11-25,93
Pull Up N Wreck,Big Sean &amp; Metro Boomin Featuring 21 Savage,2017-11-25,94
You Broke Up With Me,Walker Hayes,2017-11-25,95
Go Flex,Post Malone,2017-11-25,96
Patek Water,Future &amp; Young Thug Featuring Offset,2017-11-25,97
Glorious,Macklemore Featuring Skylar Grey,2017-11-25,98
Mad Stalkers,"21 Savage, Offset &amp; Metro Boomin",2017-11-25,99
Nightmare,Offset &amp; Metro Boomin,2017-11-25,100
Rockstar,Post Malone Featuring 21 Savage,2017-11-18,1
Havana,Camila Cabello Featuring Young Thug,2017-11-18,2
Bodak Yellow (Money Moves),Cardi B,2017-11-18,3
1-800-273-8255,Logic Featuring Alessia Cara &amp; Khalid,2017-11-18,4
Thunder,Imagine Dragons,2017-11-18,5
Feel It Still,Portugal. The Man,2017-11-18,6
Gucci Gang,Lil Pump,2017-11-18,7
Sorry Not Sorry,Demi Lovato,2017-11-18,8
Mi Gente,J Balvin &amp; Willy William Featuring Beyonce,2017-11-18,9
Too Good At Goodbyes,Sam Smith,2017-11-18,10
Perfect,Ed Sheeran,2017-11-18,11
What Lovers Do,Maroon 5 Featuring SZA,2017-11-18,12
Rake It Up,Yo Gotti Featuring Nicki Minaj,2017-11-18,13
MotorSport,"Migos, Nicki Minaj &amp; Cardi B",2017-11-18,14
I Get The Bag,Gucci Mane Featuring Migos,2017-11-18,15
Bank Account,21 Savage,2017-11-18,16
Unforgettable,French Montana Featuring Swae Lee,2017-11-18,17
Attention,Charlie Puth,2017-11-18,18
...Ready For It?,Taylor Swift,2017-11-18,19
Despacito,Luis Fonsi &amp; Daddy Yankee Featuring Justin Bieber,2017-11-18,20
Believer,Imagine Dragons,2017-11-18,21
What About Us,P!nk,2017-11-18,22
Shape Of You,Ed Sheeran,2017-11-18,23
No Limit,G-Eazy Featuring A$AP Rocky &amp; Cardi B,2017-11-18,24
Young Dumb & Broke,Khalid,2017-11-18,25
New Rules,Dua Lipa,2017-11-18,26
Bad At Love,Halsey,2017-11-18,27
Strip That Down,Liam Payne Featuring Quavo,2017-11-18,28
I Fall Apart,Post Malone,2017-11-18,29
There's Nothing Holdin' Me Back,Shawn Mendes,2017-11-18,30
Praying,Kesha,2017-11-18,31
Slow Hands,Niall Horan,2017-11-18,32
That's What I Like,Bruno Mars,2017-11-18,33
Look What You Made Me Do,Taylor Swift,2017-11-18,34
Wolves,Selena Gomez X Marshmello,2017-11-18,35
What Ifs,Kane Brown Featuring Lauren Alaina,2017-11-18,36
When It Rains It Pours,Luke Combs,2017-11-18,37
Wild Thoughts,DJ Khaled Featuring Rihanna &amp; Bryson Tiller,2017-11-18,38
Something Just Like This,The Chainsmokers &amp; Coldplay,2017-11-18,39
Congratulations,Post Malone Featuring Quavo,2017-11-18,40
Do Re Mi,blackbear,2017-11-18,41
Humble.,Kendrick Lamar,2017-11-18,42
XO TOUR Llif3,Lil Uzi Vert,2017-11-18,43
The Weekend,SZA,2017-11-18,44
Crew,GoldLink Featuring Brent Faiyaz &amp; Shy Glizzy,2017-11-18,45
How Long,Charlie Puth,2017-11-18,46
Love So Soft,Kelly Clarkson,2017-11-18,47
Location,Khalid,2017-11-18,48
Body Like A Back Road,Sam Hunt,2017-11-18,49
Silence,Marshmello Featuring Khalid,2017-11-18,50
Pills And Automobiles,"Chris Brown Featuring Yo Gotti, A Boogie Wit da Hoodie &amp; Kodak Black",2017-11-18,51
Unforgettable,Thomas Rhett,2017-11-18,52
Greatest Love Story,LANCO,2017-11-18,53
Plain Jane,A$AP Ferg Featuring Nicki Minaj,2017-11-18,54
The Way Life Goes,Lil Uzi Vert Featuring Nicki Minaj,2017-11-18,55
Roll In Peace,Kodak Black Featuring XXXTENTACION,2017-11-18,56
Ghostface Killers,"21 Savage, Offset &amp; Metro Boomin Featuring Travis Scott",2017-11-18,57
Every Little Thing,Carly Pearce,2017-11-18,58
The Race,Tay-K,2017-11-18,59
Meant To Be,Bebe Rexha &amp; Florida Georgia Line,2017-11-18,60
Let You Down,NF,2017-11-18,61
Light It Up,Luke Bryan,2017-11-18,62
Like I Loved You,Brett Young,2017-11-18,63
Let Me Go,Hailee Steinfeld &amp; Alesso Featuring Florida Georgia Line &amp; Watt,2017-11-18,64
I'll Name The Dogs,Blake Shelton,2017-11-18,65
Sky Walker,Miguel Featuring Travis Scott,2017-11-18,66
Fix A Drink,Chris Janson,2017-11-18,67
Losing Sleep,Chris Young,2017-11-18,68
Gorgeous,Taylor Swift,2017-11-18,69
Jocelyn Flores,XXXTENTACION,2017-11-18,70
Ric Flair Drip,Offset &amp; Metro Boomin,2017-11-18,71
Good Old Days,Macklemore Featuring Kesha,2017-11-18,72
Transportin',Kodak Black,2017-11-18,73
Rap Saved Me,"21 Savage, Offset &amp; Metro Boomin Featuring Quavo",2017-11-18,74
Sauce It Up,Lil Uzi Vert,2017-11-18,75
Yours,Russell Dickerson,2017-11-18,76
